2025-04-26 17:14:27, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -57 dBm
2025-04-26 17:14:27, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -66 dBm
2025-04-26 17:14:27, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -56 dBm
2025-04-26 17:14:27, 44:48:b9:29:99:a8 -> ff:ff:ff:ff:ff:ff, -85 dBm
2025-04-26 17:14:28, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -62 dBm
2025-04-26 17:14:28, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -57 dBm
2025-04-26 17:14:28, 44:48:b9:29:99:a8 -> ff:ff:ff:ff:ff:ff, -82 dBm
2025-04-26 17:14:28, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -58 dBm
2025-04-26 17:14:29, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -56 dBm
2025-04-26 17:14:29, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -62 dBm
2025-04-26 17:14:29, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -56 dBm
2025-04-26 17:14:29, 44:48:b9:29:99:a8 -> ff:ff:ff:ff:ff:ff, -84 dBm
2025-04-26 17:14:30, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -56 dBm
2025-04-26 17:14:30, 44:48:b9:29:99:a8 -> ff:ff:ff:ff:ff:ff, -80 dBm
2025-04-26 17:14:30, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -66 dBm
2025-04-26 17:14:30, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -57 dBm
2025-04-26 17:14:31, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -54 dBm
2025-04-26 17:14:31, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -56 dBm
2025-04-26 17:14:31, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -62 dBm
2025-04-26 17:14:32, 30:e1:71:d8:39:63 -> ff:ff:ff:ff:ff:ff, -66 dBm
2025-04-26 17:14:32, 4c:22:f3:58:8e:12 -> ff:ff:ff:ff:ff:ff, -58 dBm
2025-04-26 17:14:32, 78:dd:12:27:73:68 -> ff:ff:ff:ff:ff:ff, -58 dBm
2025-04-26 17:14:32, 44:48:b9:29:99:a8 -> ff:ff:ff:ff:ff:ff, -82 dBm
